model,phase,batch_size,input_len,output_len,baseline_tp,target_tp,calls_ratio,logical_payload_ratio,equivalent_bytes_ratio,equivalent_rounds_ratio,raw_op_changed
deepseek-v2-lite,decode,1,128,32,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,1,128,32,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,1,128,128,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,1,128,128,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,1,128,512,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,1,128,512,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,1,2048,32,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,1,2048,32,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,1,2048,128,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,1,2048,128,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,1,2048,512,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,1,2048,512,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,1,8192,32,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,1,8192,32,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,1,8192,128,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,1,8192,128,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,1,8192,512,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,1,8192,512,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,2,128,32,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,2,128,32,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,2,128,128,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,2,128,128,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,2,128,512,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,2,128,512,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,2,2048,32,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,2,2048,32,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,2,2048,128,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,2,2048,128,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,2,2048,512,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,2,2048,512,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,2,8192,32,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,2,8192,32,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,2,8192,128,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,2,8192,128,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,2,8192,512,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,2,8192,512,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,4,128,32,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,4,128,32,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,4,128,128,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,4,128,128,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,4,128,512,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,4,128,512,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,4,2048,32,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,4,2048,32,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,4,2048,128,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,4,2048,128,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,4,2048,512,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,4,2048,512,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,4,8192,32,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,4,8192,32,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,4,8192,128,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,4,8192,128,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,4,8192,512,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,4,8192,512,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,8,128,32,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,8,128,32,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,8,128,128,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,8,128,128,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,8,128,512,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,8,128,512,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,8,2048,32,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,8,2048,32,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,8,2048,128,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,8,2048,128,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,8,2048,512,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,8,2048,512,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,8,8192,32,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,8,8192,32,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,8,8192,128,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,8,8192,128,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,8,8192,512,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,8,8192,512,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,16,128,32,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,16,128,32,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,16,128,128,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,16,128,128,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,16,128,512,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,16,128,512,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,16,2048,32,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,16,2048,32,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,16,2048,128,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,16,2048,128,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,16,2048,512,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,16,2048,512,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,16,8192,32,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,16,8192,32,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,16,8192,128,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,16,8192,128,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,decode,16,8192,512,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,decode,16,8192,512,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,prefill,1,128,8,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,prefill,1,128,8,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,prefill,1,512,8,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,prefill,1,512,8,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,prefill,1,2048,8,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,prefill,1,2048,8,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,prefill,1,8192,8,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,prefill,1,8192,8,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,prefill,2,128,8,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,prefill,2,128,8,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,prefill,2,512,8,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,prefill,2,512,8,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,prefill,2,2048,8,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,prefill,2,2048,8,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,prefill,2,8192,8,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,prefill,2,8192,8,2,8,1.0,1.0,1.75,7.0,False
deepseek-v2-lite,prefill,4,128,8,2,4,1.0,1.0,1.5,3.0,False
deepseek-v2-lite,prefill,4,128,8,2,8,1.0,1.0,1.75,7.0,False
