model,phase,tp,batch_size,input_len,output_len,repeat_count,calls,logical_payload_bytes,ring_equivalent_bytes,ring_equivalent_rounds,unique_payload_sizes,min_payload_bytes,max_payload_bytes,ops_json,histogram_json,raw_ops_json,collective_families_json
qwen3-8b,decode,2,1,128,32,3,2263,18538496,18538496.0,4526,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,1,128,128,3,9271,75948032,75948032.0,18542,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,1,128,512,3,37303,305586176,305586176.0,74606,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,1,2048,32,3,2263,18538496,18538496.0,4526,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,1,2048,128,3,9271,75948032,75948032.0,18542,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,1,2048,512,3,37303,305586176,305586176.0,74606,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,1,8192,32,3,2263,18538496,18538496.0,4526,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,1,8192,128,3,9271,75948032,75948032.0,18542,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":9271}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,1,8192,512,3,37303,305586176,305586176.0,74606,1,8192,8192,"[""all_reduce""]","{""all_reduce:8192"":37303}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,2,128,32,3,2263,37076992,37076992.0,4526,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":2263}","[""all_reduce""]","[""all_reduce""]"
qwen3-8b,decode,2,2,128,128,3,9271,151896064,151896064.0,18542,1,16384,16384,"[""all_reduce""]","{""all_reduce:16384"":9271}","[""all_reduce""]","[""all_reduce""]"
